,rankings,name,stars,number_of_ratings,price,price range
0,0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",4.0,87946,19.99,under 25
1,1,"Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls), Dolby Vision",4.0,5714,24.99,under 25
2,2,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.0,783750,19.99,under 25
3,3,"Introducing Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",4.0,4360,34.99,$25 to $50
4,4,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,4.0,763724,24.99,under 25
5,5,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,4.0,874,29.0,$25 to $50
6,6,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",4.0,99789,69.99,$50 to $100
7,7,Apple AirTag,4.0,22960,29.0,$25 to $50
8,8,"Amazon Smart Plug, Works with Alexa – A Certified for Humans Device",4.0,459059,24.99,under 25
9,9,Fujifilm Instax Mini Instant Film Twin Pack (White),4.0,104091,13.38,under 25
10,10,Echo Auto- Hands-free Alexa in your car with your phone,4.0,134815,14.99,under 25
11,11,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,4.0,102286,29.99,$25 to $50
12,12,"Apple Watch SE (GPS, 40mm) - Silver Aluminum Case with Abyss Blue Sport Band",4.0,23391,219.0,$200 and above
13,13,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - Charcoal",4.0,239734,59.99,$50 to $100
14,14,Apple AirTag 4 Pack,4.0,22960,97.62,$50 to $100
15,15,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",4.0,209850,34.99,$25 to $50
16,16,"Fire 7 Kids tablet, 7"" Display, ages 3-7, 16 GB, Blue Kid-Proof Case",4.0,200666,59.99,$50 to $100
17,17,"All-new Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",4.0,17610,44.99,$25 to $50
18,18,"Introducing Amazon Halo View fitness tracker, with color display for at-a-glance access to heart rate, activity, and sleep tracking – Active Black – Small/Medium",0.0,0,49.99,$25 to $50
19,19,"Power Strip, ALESTOR Surge Protector with 12 Outlets and 4 USB Ports, 6 Feet Extension Cord (1875W/15A), 2700 Joules, ETL Listed, Black",4.0,8043,20.98,under 25
20,20,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.0,84620,59.99,$50 to $100
21,21,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Purple Kid-Proof Case",4.0,99789,69.99,$50 to $100
22,22,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",4.0,204874,17.99,under 25
23,23,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,4.0,40427,49.99,$25 to $50
24,24,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Pink Kid-Proof Case",4.0,99789,69.99,$50 to $100
25,25,"Echo Dot (4th Gen) Kids | Designed for kids, with parental controls | Panda",4.0,19602,34.99,$25 to $50
26,26,"Introducing Fire HD 8 Kids Pro tablet, 8"" HD, ages 6–12, 32 GB, Doodle",4.0,4283,69.99,$50 to $100
27,27,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 3 camera kit",4.0,81467,139.99,$100 to $200
28,28,"Echo Dot (4th Gen) Kids | Designed for kids, with parental controls | Tiger",4.0,19602,34.99,$25 to $50
29,29,"Introducing Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, Intergalactic",4.0,2914,119.99,$100 to $200
30,30,"Fire 7 Kids tablet, 7"" Display, ages 3-7, 16 GB, Pink Kid-Proof Case",4.0,200666,59.99,$50 to $100
31,31,"Introducing Fire HD 8 Kids Pro tablet, 8"" HD, ages 6–12, 32 GB, Intergalactic",4.0,4283,69.99,$50 to $100
32,32,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",4.0,81467,99.99,$50 to $100
33,33,"Fire HD 8 Plus tablet, HD display, 32 GB, latest model (2020 release), our best 8"" tablet for portable entertainment, Slate",4.0,28025,54.99,$50 to $100
34,34,"All-new Fire HD 10 Kids tablet, 10.1"", 1080p Full HD, ages 3–7, 32 GB, Lavender",4.0,5594,119.99,$100 to $200
35,35,"Wake Up Light Sunrise Alarm Clock for Kids, Heavy Sleepers, Bedroom, with Sunrise Simulation, Sleep Aid, Dual Alarms, FM Radio, Snooze, Nightlight, Daylight, 7 Colors, 7 Natural Sounds, Ideal for Gift",4.0,15554,45.98,$25 to $50
36,36,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – stay connected with video calling - Sandstone",4.0,239734,59.99,$50 to $100
37,37,"Introducing Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Slate",4.0,6658,104.99,$100 to $200
38,38,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio, Works with Alexa – 2 cameras",4.0,142940,39.98,$25 to $50
39,39,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Plum",4.0,209850,34.99,$25 to $50
40,40,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, UL Listed, White, 14092",4.0,84831,13.13,under 25
41,41,"All-new Echo Show 5 (2nd Gen, 2021 release) - Charcoal bundle with Blink Mini",4.0,17610,49.99,$25 to $50
42,42,"Apple Watch Series 7 GPS, 45mm Midnight Aluminum Case with Midnight Sport Band - Regular",4.0,321,409.99,$200 and above
43,43,Insignia NS-24DF310NA21 24-inch Smart HD 720p TV - Fire TV,4.0,15535,99.99,$50 to $100
44,44,"All-new Fire HD 10 Kids tablet, 10.1"", 1080p Full HD, ages 3–7, 32 GB, Sky Blue",4.0,5594,119.99,$100 to $200
45,45,"OHill Cable Clips,16 Pack Black Adhesive Cord Holders, Ideal Cable Cords Management for Organizing Cable Wires-Home, Office, Car, Desk Nightstand",4.0,40952,7.99,under 25
46,46,"TTile Mate (2022) 1-Pack, Black. Bluetooth Tracker, Keys Finder and Item Locator; Up to 250 ft. Range. Up to 3 Year Battery. Water-Resistant. Phone Finder. iOS and Android Compatible.",4.0,28339,19.99,under 25
47,47,"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",4.0,444,139.99,$100 to $200
48,48,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",4.0,18957,99.99,$50 to $100
49,49,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,4.0,134535,29.0,$25 to $50
0,50,Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),4.0,85282,8.98,under 25
1,51,12x42 High Definition Binoculars for Adults with Universal Phone Adapter - Super Bright Binoculars with Large View- Lightweight Waterproof Binoculars for Bird Watching Hunting stargazing Hiking Sports,4.0,10026,58.5,$50 to $100
2,52,"Lenovo Chromebook Flex 3 11"" Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 82HG0006US, Blizzard White",4.0,690,169.99,$100 to $200
3,53,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 1 camera kit",4.0,81468,59.99,$50 to $100
4,54,"All-new Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Deep Sea Blue",4.0,17610,44.99,$25 to $50
5,55,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI Cable",4.0,11571,38.98,$25 to $50
6,56,"Apple Watch Series 7 GPS, 41mm Starlight Aluminum Case with Starlight Sport Band - Regular",4.0,321,379.99,$200 and above
7,57,Ring Alarm 14-piece kit (2nd Gen) – home security system with optional 24/7 professional monitoring – Works with Alexa,4.0,2193,199.99,$100 to $200
8,58,Blink Outdoor 5 Cam Kit bundle with Echo Show 5 (2nd Gen),4.0,81468,229.99,$200 and above
9,59,"TP-Link Deco Mesh WiFi System (Deco S4) – Up to 5,500 Sq.ft. Coverage, Replaces WiFi Router and Extender, Gigabit Ports, Works with Alexa, 3-pack",4.0,14191,109.99,$100 to $200
10,60,"Apple Watch SE (GPS, 44mm) - Silver Aluminium Case with Abyss Blue Sport Band - Regular",4.0,23391,349.0,$200 and above
11,61,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable, Black",4.0,79662,24.99,under 25
12,62,"Apple Watch SE (GPS, 40mm) - Gold Aluminum Case with Starlight Sport Band",4.0,23391,219.99,$200 and above
13,63,USB Wall Charger Surge Protector 5 Outlet Extender with 4 USB Charging Ports ( 1 USB C Outlet) 3 Sided 1800J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office ETL Listed,4.0,19087,18.99,under 25
14,64,"Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – 5 camera kit",4.0,81468,219.99,$200 and above
15,65,"Introducing Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, Sky Blue",4.0,2914,119.99,$100 to $200
16,66,"Apple Watch SE (GPS + Cellular, 44mm) - Gold Aluminum Case with Starlight Sport Band",4.0,23391,359.0,$200 and above
17,67,"Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – Add-on camera (Sync Module required)",4.0,81468,54.99,$50 to $100
18,68,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black/Carbon, One Size (S and L Bands Included)",4.0,116935,118.99,$100 to $200
19,69,"PEAKEEP Smart Night Light Digital Alarm Clock with Indoor Temperature, Battery Operated Desk Small Clock (Black)",4.0,11179,13.99,under 25
20,70,"SAMSUNG 49-inch Odyssey G9 Gaming Monitor | QHD, 240hz, 1000R Curved, QLED, NVIDIA G-SYNC & FreeSync | LC49G95TSSNXZA Model",4.0,3804,999.99,$200 and above
21,71,"Roku Ultra | Streaming Device HD/4K/HDR/Dolby Vision with Dolby Atmos, Bluetooth Streaming, and Roku Voice Remote with Headphone Jack and Personal Shortcuts, includes Premium HDMI Cable",4.0,16764,85.95,$50 to $100
22,72,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",4.0,377738,49.99,$25 to $50
23,73,"TP-Link AC1750 Smart WiFi Router (Archer A7) -Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa, VPN Server, Parental Control, QoS",4.0,57764,49.99,$25 to $50
24,74,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Twilight Blue",4.0,209850,34.99,$25 to $50
25,75,"Introducing Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, Black",4.0,2914,119.99,$100 to $200
26,76,"Power Strip, AHRISE Extension Cord with 6 AC Outlets and 4 USB Charging Ports(5V/3.4A,17W) for Smartphone Tablets Home, Office, Hotel, Cruise Ship, 5 Feet Long Cord, ETL Listed -Black",4.0,5383,14.93,under 25
27,77,"Roku Streambar | 4K/HD/HDR Streaming Media Player & Premium Audio, All In One, Includes Roku Voice Remote",4.0,5037,79.98,$50 to $100
28,78,"Introducing Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, Doodle",4.0,2914,119.99,$100 to $200
29,79,12x42 HD Professional Binoculars for Adults with Phone Adapter: High Power Waterproof Compact and Low Light Night Vision Binoculars with BAK4 Prism FMC Lens for Bird Watching Hunting Traveling Hiking…,4.0,74,39.99,$25 to $50
30,80,"[2021 Upgraded] COMSOON Bluetooth 5.0 Receiver for Car, Noise Cancelling Bluetooth AUX Adapter, Bluetooth Music Receiver for Home Stereo/Wired Headphones/Hands-Free Call,16H Battery Life-Black+Silver",4.0,13099,16.99,under 25
31,81,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.0,43254,44.9,$25 to $50
32,82,"Introducing Fire HD 8 Kids Pro tablet, 8"" HD, ages 6–12, 32 GB, Sky Blue",4.0,4283,69.99,$50 to $100
33,83,"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD",4.0,158,79.99,$50 to $100
34,84,"TCL 40-inch Class 3-Series HD LED Smart Android TV - 40S334, 2021 Model",4.0,1211,179.99,$100 to $200
35,85,"All-new Fire HD 10 Kids tablet, 10.1"", 1080p Full HD, ages 3–7, 32 GB, Aquamarine",4.0,5594,119.99,$100 to $200
36,86,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.0,84621,59.99,$50 to $100
37,87,"Power Strip with 6 Feet, Yintar Surge Protector with 6 AC Outlets and 3 USB Ports, 6 Ft Extension Cord for for Home, Office, Dorm Essentials, 2100 Joules, ETL Listed, (Black)",4.0,3175,14.97,under 25
38,88,Kindle - Now with a Built-in Front Light - White - Ad-Supported,4.0,40427,49.99,$25 to $50
39,89,"TCL 43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",4.0,13578,279.0,$200 and above
40,90,"GE 6-Outlet Power Strip, 2 Pack, 2 Ft Extension Cord, Heavy Duty Plug, Grounded, Integrated Circuit Breaker, 3-Prong, Wall Mount, UL Listed, White, 14833",4.0,24879,10.99,under 25
41,91,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System Cable Hider, Cord Wires, Hiding Wall Mount TV Powers Cords in Home Office, 10X L15.7in X W0.95in X H0.55in, White",4.0,22158,17.99,under 25
42,92,"occer 12x25 Compact Binoculars with Clear Low Light Vision, Large Eyepiece Waterproof Binocular for Adults Kids,High Power Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing",4.0,15796,35.99,$25 to $50
43,93,"All-new Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",4.0,12622,129.99,$100 to $200
44,94,"Certified Refurbished Echo Show 5 (1st Gen, 2019 release) – Compact smart display with Alexa - Charcoal",4.0,13130,34.99,$25 to $50
45,95,"Fire 7 Kids tablet, 7"" Display, ages 3-7, 16 GB, Purple Kid-Proof Case",4.0,200666,59.99,$50 to $100
46,96,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray",4.0,1059,438.7,$200 and above
47,97,"300 PCS Stickers Pack (50-850Pcs/Pack), Colorful VSCO Waterproof Stickers, Cute Aesthetic Stickers. Laptop, Water Bottle, Phone, Skateboard Stickers for Teens Girls Kids, Vinyl Sticker.",4.0,9197,13.89,under 25
48,98,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Glacier White",4.0,84621,59.99,$50 to $100
49,99,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, Carbon/Graphite, One Size (S & L Bands Included)",4.0,21684,199.95,$100 to $200
