,title,rating,run time,year,genre,Director,Score
0,The Shawshank Redemption,R,2H:22M,1994,Drama,Frank Darabont,9.2
1,The Godfather,R,2H:55M,1972,Crime,Francis Ford Coppola,9.1
2,The Godfather: Part II,R,3H:22M,1974,Crime,Francis Ford Coppola,9.0
3,The Dark Knight,PG-13,2H:32M,2008,Action,Christopher Nolan,9.0
4,12 Angry Men,Approved,1H:36M,1957,Crime,Sidney Lumet,8.9
5,Schindler's List,R,3H:15M,1993,Biography,Steven Spielberg,8.9
6,The Lord of the Rings: The Return of the King,PG-13,3H:21M,2003,Action,Peter Jackson,8.9
7,Pulp Fiction,R,2H:34M,1994,Crime,Quentin Tarantino,8.8
8,"The Good, the Bad and the Ugly",R,2H:58M,1966,Adventure,Sergio Leone,8.8
9,The Lord of the Rings: The Fellowship of the Ring,PG-13,2H:58M,2001,Action,Peter Jackson,8.8
10,Fight Club,R,2H:19M,1999,Drama,David Fincher,8.7
11,Forrest Gump,PG-13,2H:22M,1994,Drama,Robert Zemeckis,8.7
12,Inception,PG-13,2H:28M,2010,Action,Christopher Nolan,8.7
13,Spider-Man: No Way Home,PG-13,2H:28M,2021,Action,Jon Watts,8.7
14,The Lord of the Rings: The Two Towers,PG,2H:59M,2002,Action,Peter Jackson,8.7
15,Star Wars: Episode V - The Empire Strikes Back,PG,2H:4M,1980,Action,Irvin Kershner,8.7
16,The Matrix,R,2H:16M,1999,Action,Lana Wachowski,8.6
17,Goodfellas,R,2H:26M,1990,Biography,Martin Scorsese,8.6
18,One Flew Over the Cuckoo's Nest,R,2H:13M,1975,Drama,Milos Forman,8.6
19,Seven Samurai,Not Rated,3H:27M,1954,Action,Akira Kurosawa,8.6
20,Se7en,R,2H:7M,1995,Crime,David Fincher,8.6
21,The Silence of the Lambs,R,1H:58M,1991,Crime,Jonathan Demme,8.6
22,It's a Wonderful Life,PG,2H:10M,1946,Drama,Frank Capra,8.6
23,City of God,R,2H:10M,2002,Crime,Fernando Meirelles,8.6
24,Life Is Beautiful,PG-13,1H:56M,1997,Comedy,Roberto Benigni,8.6
25,Saving Private Ryan,R,2H:49M,1998,Drama,Steven Spielberg,8.6
26,Star Wars: Episode IV - A New Hope,PG,2H:1M,1977,Action,George Lucas,8.5
27,Interstellar,PG-13,2H:49M,2014,Adventure,Christopher Nolan,8.5
28,Spirited Away,PG,2H:5M,2001,Animation,Hayao Miyazaki,8.5
29,The Green Mile,R,3H:9M,1999,Crime,Frank Darabont,8.5
30,Parasite,R,2H:12M,2019,Comedy,Bong Joon Ho,8.5
31,Léon: The Professional,R,1H:50M,1994,Action,Luc Besson,8.5
32,Hara-Kiri,Not Rated,2H:13M,1962,Action,Masaki Kobayashi,8.5
33,The Pianist,R,2H:30M,2002,Biography,Roman Polanski,8.5
34,Terminator 2: Judgment Day,R,2H:17M,1991,Action,James Cameron,8.5
35,Back to the Future,PG,1H:56M,1985,Adventure,Robert Zemeckis,8.5
36,The Usual Suspects,R,1H:46M,1995,Crime,Bryan Singer,8.5
37,Psycho,R,1H:49M,1960,Horror,Alfred Hitchcock,8.5
38,The Lion King,G,1H:28M,1994,Animation,Roger Allers,8.5
39,Modern Times,G,1H:27M,1936,Comedy,Charles Chaplin,8.5
40,Grave of the Fireflies,Not Rated,1H:29M,1988,Animation,Isao Takahata,8.5
41,American History X,R,1H:59M,1998,Drama,Tony Kaye,8.5
42,Whiplash,R,1H:46M,2014,Drama,Damien Chazelle,8.5
43,Gladiator,R,2H:35M,2000,Action,Ridley Scott,8.5
44,City Lights,G,1H:27M,1931,Comedy,Charles Chaplin,8.5
45,The Departed,R,2H:31M,2006,Action,Martin Scorsese,8.5
46,The Intouchables,R,1H:52M,2011,Biography,Olivier Nakache,8.5
47,The Prestige,PG-13,2H:10M,2006,Drama,Christopher Nolan,8.5
48,Casablanca,PG,1H:42M,1942,Drama,Michael Curtiz,8.4
49,Once Upon a Time in the West,PG-13,2H:45M,1968,Western,Sergio Leone,8.4
50,Rear Window,PG,1H:52M,1954,Mystery,Alfred Hitchcock,8.4
51,Cinema Paradiso,PG,2H:35M,1988,Drama,Giuseppe Tornatore,8.4
52,Alien,R,1H:57M,1979,Horror,Ridley Scott,8.4
53,Apocalypse Now,R,2H:27M,1979,Drama,Francis Ford Coppola,8.4
54,Memento,R,1H:53M,2000,Mystery,Christopher Nolan,8.4
55,Indiana Jones and the Raiders of the Lost Ark,PG,1H:55M,1981,Action,Steven Spielberg,8.4
56,The Great Dictator,G,2H:5M,1940,Comedy,Charles Chaplin,8.4
57,Django Unchained,R,2H:45M,2012,Drama,Quentin Tarantino,8.4
58,The Lives of Others,R,2H:17M,2006,Drama,Florian Henckel von Donnersmarck,8.4
59,Paths of Glory,Approved,1H:28M,1957,Drama,Stanley Kubrick,8.4
60,Sunset Blvd.,Passed,1H:50M,1950,Drama,Billy Wilder,8.4
61,WALL·E,G,1H:38M,2008,Animation,Andrew Stanton,8.4
62,Avengers: Infinity War,PG-13,2H:29M,2018,Action,Anthony Russo,8.4
63,Witness for the Prosecution,Approved,1H:56M,1957,Crime,Billy Wilder,8.4
64,The Shining,R,2H:26M,1980,Drama,Stanley Kubrick,8.4
65,Spider-Man: Into the Spider-Verse,PG,1H:57M,2018,Animation,Bob Persichetti,8.4
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,1H:35M,1964,Comedy,Stanley Kubrick,8.4
67,Princess Mononoke,PG-13,2H:14M,1997,Animation,Hayao Miyazaki,8.3
68,Oldboy,R,1H:44M,2003,Action,Park Chan-Wook,8.3
69,Joker,R,2H:2M,2019,Crime,Todd Phillips,8.3
70,Your Name.,TV-PG,1H:46M,2016,Animation,Makoto Shinkai,8.3
71,Coco,PG,1H:45M,2017,Animation,Lee Unkrich,8.3
72,The Dark Knight Rises,PG-13,2H:44M,2012,Action,Christopher Nolan,8.3
73,Aliens,R,2H:17M,1986,Action,James Cameron,8.3
74,Once Upon a Time in America,R,3H:49M,1984,Crime,Sergio Leone,8.3
75,Avengers: Endgame,PG-13,3H:1M,2019,Action,Anthony Russo,8.3
76,Capernaum,R,2H:6M,2018,Drama,Nadine Labaki,8.3
77,Das Boot,Not Rated,2H:29M,1981,Drama,Wolfgang Petersen,8.3
78,High and Low,Not Rated,2H:23M,1963,Crime,Akira Kurosawa,8.3
79,3 Idiots,PG-13,2H:50M,2009,Comedy,Rajkumar Hirani,8.3
80,Toy Story,G,1H:21M,1995,Animation,John Lasseter,8.3
81,American Beauty,R,2H:2M,1999,Drama,Sam Mendes,8.3
82,Amadeus,PG,2H:40M,1984,Biography,Milos Forman,8.3
83,Braveheart,R,2H:58M,1995,Biography,Mel Gibson,8.3
84,Inglourious Basterds,R,2H:33M,2009,Adventure,Quentin Tarantino,8.3
85,Hamilton,PG-13,2H:40M,2020,Biography,Thomas Kail,8.3
86,Good Will Hunting,R,2H:6M,1997,Drama,Gus Van Sant,8.3
87,Star Wars: Episode VI - Return of the Jedi,PG,2H:11M,1983,Action,Richard Marquand,8.3
88,2001: A Space Odyssey,G,2H:29M,1968,Adventure,Stanley Kubrick,8.3
89,Come and See,Not Rated,2H:22M,1985,Drama,Elem Klimov,8.3
90,Reservoir Dogs,R,1H:39M,1992,Crime,Quentin Tarantino,8.3
91,Like Stars on Earth,PG,2H:45M,2007,Drama,Aamir Khan,8.3
92,Vertigo,PG,2H:8M,1958,Mystery,Alfred Hitchcock,8.3
93,M,Passed,1H:39M,1931,Crime,Fritz Lang,8.3
94,Citizen Kane,PG,1H:59M,1941,Drama,Orson Welles,8.3
95,The Hunt,R,1H:55M,2012,Drama,Thomas Vinterberg,8.3
96,Requiem for a Dream,Unrated,1H:42M,2000,Drama,Darren Aronofsky,8.3
97,Singin' in the Rain,G,1H:43M,1952,Comedy,Stanley Donen,8.3
98,North by Northwest,Approved,2H:16M,1959,Adventure,Alfred Hitchcock,8.3
99,Eternal Sunshine of the Spotless Mind,R,1H:48M,2004,Drama,Michel Gondry,8.3
100,Ikiru,Not Rated,2H:23M,1952,Drama,Akira Kurosawa,8.3
101,Bicycle Thieves,Not Rated,1H:29M,1948,Drama,Vittorio De Sica,8.3
102,Lawrence of Arabia,Approved,3H:48M,1962,Adventure,David Lean,8.3
103,The Kid,Passed,1H:8M,1921,Comedy,Charles Chaplin,8.2
104,Full Metal Jacket,R,1H:56M,1987,Drama,Stanley Kubrick,8.2
105,Dangal,Not Rated,2H:41M,2016,Action,Nitesh Tiwari,8.2
106,Incendies,R,2H:11M,2010,Drama,Denis Villeneuve,8.2
107,The Apartment,Approved,2H:5M,1960,Comedy,Billy Wilder,8.2
108,The Father,PG-13,1H:37M,2020,Drama,Florian Zeller,8.2
109,Double Indemnity,Passed,1H:47M,1944,Crime,Billy Wilder,8.2
110,Metropolis,Not Rated,2H:33M,1927,Drama,Fritz Lang,8.2
111,Taxi Driver,R,1H:54M,1976,Crime,Martin Scorsese,8.2
112,A Clockwork Orange,X,2H:16M,1971,Crime,Stanley Kubrick,8.2
113,A Separation,PG-13,2H:3M,2011,Drama,Asghar Farhadi,8.2
114,The Sting,PG,2H:9M,1973,Comedy,George Roy Hill,8.2
115,Scarface,R,2H:50M,1983,Crime,Brian De Palma,8.2
116,Snatch,R,1H:42M,2000,Comedy,Guy Ritchie,8.2
117,1917,R,1H:59M,2019,Action,Sam Mendes,8.2
118,Amélie,R,2H:2M,2001,Comedy,Jean-Pierre Jeunet,8.2
119,Pather Panchali,Not Rated,2H:5M,1955,Drama,Satyajit Ray,8.2
120,To Kill a Mockingbird,Approved,2H:9M,1962,Crime,Robert Mulligan,8.2
121,Toy Story 3,G,1H:43M,2010,Animation,Lee Unkrich,8.2
122,For a Few Dollars More,R,2H:12M,1965,Western,Sergio Leone,8.2
123,Up,PG,1H:36M,2009,Animation,Pete Docter,8.2
124,Indiana Jones and the Last Crusade,PG-13,2H:7M,1989,Action,Steven Spielberg,8.2
125,Heat,R,2H:50M,1995,Action,Michael Mann,8.2
126,L.A. Confidential,R,2H:18M,1997,Crime,Curtis Hanson,8.2
127,Yojimbo,Not Rated,1H:50M,1961,Action,Akira Kurosawa,8.2
128,Die Hard,R,2H:12M,1988,Action,John McTiernan,8.2
129,Ran,R,2H:42M,1985,Action,Akira Kurosawa,8.2
130,Rashomon,Not Rated,1H:28M,1950,Crime,Akira Kurosawa,8.2
131,Green Book,PG-13,2H:10M,2018,Biography,Peter Farrelly,8.2
132,Downfall,R,2H:36M,2004,Biography,Oliver Hirschbiegel,8.2
133,Monty Python and the Holy Grail,PG,1H:31M,1975,Adventure,Terry Gilliam,8.2
134,All About Eve,Passed,2H:18M,1950,Drama,Joseph L. Mankiewicz,8.2
135,Some Like It Hot,Passed,2H:1M,1959,Comedy,Billy Wilder,8.2
136,Batman Begins,PG-13,2H:20M,2005,Action,Christopher Nolan,8.2
137,Unforgiven,R,2H:10M,1992,Drama,Clint Eastwood,8.2
138,Children of Heaven,PG,1H:29M,1997,Drama,Majid Majidi,8.2
139,Jai Bhim,TV-MA,2H:44M,2021,Crime,T.J. Gnanavel,8.2
140,Howl's Moving Castle,PG,1H:59M,2004,Animation,Hayao Miyazaki,8.2
141,The Wolf of Wall Street,R,3H:0M,2013,Biography,Martin Scorsese,8.2
142,Judgment at Nuremberg,Approved,2H:59M,1961,Drama,Stanley Kramer,8.2
143,There Will Be Blood,R,2H:38M,2007,Drama,Paul Thomas Anderson,8.2
144,The Great Escape,Approved,2H:52M,1963,Adventure,John Sturges,8.2
145,Casino,R,2H:58M,1995,Crime,Martin Scorsese,8.2
146,The Treasure of the Sierra Madre,Passed,2H:6M,1948,Adventure,John Huston,8.2
147,Pan's Labyrinth,R,1H:58M,2006,Drama,Guillermo del Toro,8.1
148,A Beautiful Mind,PG-13,2H:15M,2001,Biography,Ron Howard,8.1
149,The Secret in Their Eyes,R,2H:9M,2009,Drama,Juan José Campanella,8.1
150,Raging Bull,R,2H:9M,1980,Biography,Martin Scorsese,8.1
151,Chinatown,R,2H:10M,1974,Drama,Roman Polanski,8.1
152,My Neighbor Totoro,G,1H:26M,1988,Animation,Hayao Miyazaki,8.1
153,Dersu Uzala,G,2H:22M,1975,Adventure,Akira Kurosawa,8.1
154,Shutter Island,R,2H:18M,2010,Mystery,Martin Scorsese,8.1
155,"Lock, Stock and Two Smoking Barrels",R,1H:47M,1998,Action,Guy Ritchie,8.1
156,No Country for Old Men,R,2H:2M,2007,Crime,Ethan Coen,8.1
157,Dial M for Murder,PG,1H:45M,1954,Crime,Alfred Hitchcock,8.1
158,The Gold Rush,Passed,1H:35M,1925,Adventure,Charles Chaplin,8.1
159,Klaus,PG,1H:36M,2019,Animation,Sergio Pablos,8.1
160,The Thing,R,1H:49M,1982,Horror,John Carpenter,8.1
161,"Three Billboards Outside Ebbing, Missouri",R,1H:55M,2017,Comedy,Martin McDonagh,8.1
162,The Seventh Seal,Not Rated,1H:36M,1957,Drama,Ingmar Bergman,8.1
163,The Elephant Man,PG,2H:4M,1980,Biography,David Lynch,8.1
164,The Sixth Sense,PG-13,1H:47M,1999,Drama,M. Night Shyamalan,8.1
165,The Truman Show,PG,1H:43M,1998,Comedy,Peter Weir,8.1
166,Jurassic Park,PG-13,2H:7M,1993,Action,Steven Spielberg,8.1
167,Wild Strawberries,Not Rated,1H:31M,1957,Drama,Ingmar Bergman,8.1
168,The Third Man,Approved,1H:33M,1949,Film-Noir,Carol Reed,8.1
169,Memories of Murder,Not Rated,2H:12M,2003,Crime,Bong Joon Ho,8.1
170,V for Vendetta,R,2H:12M,2005,Action,James McTeigue,8.1
171,Blade Runner,R,1H:57M,1982,Action,Ridley Scott,8.1
172,Trainspotting,R,1H:33M,1996,Drama,Danny Boyle,8.1
173,Inside Out,PG,1H:35M,2015,Animation,Pete Docter,8.1
174,The Bridge on the River Kwai,PG,2H:41M,1957,Adventure,David Lean,8.1
175,Fargo,R,1H:38M,1996,Crime,Joel Coen,8.1
176,Finding Nemo,G,1H:40M,2003,Animation,Andrew Stanton,8.1
177,Warrior,PG-13,2H:20M,2011,Action,Gavin O'Connor,8.1
178,Kill Bill: Vol. 1,R,1H:51M,2003,Action,Quentin Tarantino,8.1
179,Gone with the Wind,Passed,3H:58M,1939,Drama,Victor Fleming,8.1
180,Tokyo Story,Not Rated,2H:16M,1953,Drama,Yasujirô Ozu,8.1
181,Dune,PG-13,2H:35M,2021,Action,Denis Villeneuve,8.1
182,On the Waterfront,Approved,1H:48M,1954,Crime,Elia Kazan,8.1
